A股代码,公司简称,公司全称,所属行业,A股上市日期,B股代码,省份,城市,公司网址,注册地址
000001,平安银行,平安银行股份有限公司,J 金融业,1991-04-03,,广东,深圳市,www.bank.pingan.com,广东省深圳市罗湖区深南东路5047号
000002,万  科Ａ,万科企业股份有限公司,K 房地产,1991-01-29,,广东,深圳市,www.vanke.com,广东省深圳市盐田区大梅沙环梅路33号万科中心
000004,国农科技,深圳中国农大科技股份有限公司,C 制造业,1990-12-01,,广东,深圳市,www.sz000004.cn,广东省深圳市南山区中心路（深圳湾段）3333号中铁南方总部大厦503室
000005,世纪星源,深圳世纪星源股份有限公司,N 公共环保,1990-12-10,,广东,深圳市,www.fountain.com.cn,广东省深圳市人民南路发展中心大厦13层
000006,深振业Ａ,深圳市振业(集团)股份有限公司,K 房地产,1992-04-27,,广东,深圳市,www.zhenye.com,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层
000100,TCL 集团,TCL集团股份有限公司,C 制造业,2004-01-30,,广东,惠州市,www.tcl.com,广东省惠州市仲恺高新技术开发区十九号小区
